,From Bank,To Bank,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
1656,70,17289,6349.02,Euro,6349.02,Euro,Cheque,1
1657,113816,110682,17201.99,Yuan,17201.99,Yuan,ACH,1
1658,256833,11661,7788.81,US Dollar,7788.81,US Dollar,ACH,1
1659,70,258606,79144.33,Shekel,79144.33,Shekel,Credit Card,1
1660,220822,229026,866.6,US Dollar,866.6,US Dollar,ACH,1
1661,342914,342914,0.325217,Bitcoin,5459.38,Australian Dollar,Wire,0
1662,22224,11,4127.23,US Dollar,4127.23,US Dollar,ACH,1
1663,1291,15875,5272.26,US Dollar,5272.26,US Dollar,Cheque,0
1664,70,119927,4934.26,US Dollar,4934.26,US Dollar,Cheque,0
1665,14,14213,573.49,Euro,573.49,Euro,ACH,1
1666,1291,349,289.74,US Dollar,289.74,US Dollar,ACH,1
1667,263431,163233,4171.65,Saudi Riyal,4171.65,Saudi Riyal,ACH,1
1668,19629,247343,245.75,Euro,245.75,Euro,Credit Card,0
1669,164686,115,15939.29,Saudi Riyal,15939.29,Saudi Riyal,ACH,1
1670,2196,118314,778507.14,US Dollar,778507.14,US Dollar,Cheque,0
1671,367804,165675,327.61,Saudi Riyal,327.61,Saudi Riyal,Cheque,0
1672,70,112876,1083.21,Euro,1083.21,Euro,Credit Card,0
1673,2514,2514,15904.11,US Dollar,13572.56,Euro,ACH,0
1674,230733,115216,42.24,US Dollar,42.24,US Dollar,Credit Card,0
1675,115690,115690,20.25,Euro,20.25,Euro,Reinvestment,0
1676,20,13703,147.95,US Dollar,147.95,US Dollar,Cheque,0
1677,70,143355,1000.75,Australian Dollar,1000.75,Australian Dollar,Cheque,1
1678,14648,116648,114.61,US Dollar,114.61,US Dollar,Cheque,0
1679,1110,247408,561.45,US Dollar,561.45,US Dollar,Cheque,0
1680,151852,150028,12237.36,Brazil Real,12237.36,Brazil Real,ACH,1
1681,11,423,16885.58,Euro,16885.58,Euro,ACH,1
1682,224,20,735.81,US Dollar,735.81,US Dollar,ACH,1
1683,11968,11968,0.92,Euro,1.07,US Dollar,ACH,0
1684,4,4,16365.03,Yen,16365.03,Yen,Cheque,0
1685,214342,21566,19036.11,US Dollar,19036.11,US Dollar,Credit Card,0
1686,70,45977,21694.16,Mexican Peso,21694.16,Mexican Peso,Credit Card,1
1687,8889,267083,49.89,Euro,49.89,Euro,Cash,0
1688,70,42838,4700689.13,US Dollar,4700689.13,US Dollar,Cash,1
1689,39176,13191,1023.2,Yuan,1023.2,Yuan,Cash,0
1690,11968,23571,673.46,US Dollar,673.46,US Dollar,Cash,0
1691,212,212,162.0,Australian Dollar,162.0,Australian Dollar,Credit Card,0
1692,11587,11587,639336.23,Yuan,639336.23,Yuan,Reinvestment,0
1693,124304,124476,181833.12,Rupee,181833.12,Rupee,Credit Card,0
1694,1231,20,18560.63,US Dollar,18560.63,US Dollar,ACH,1
1695,70,24438,3200.06,US Dollar,3200.06,US Dollar,Cheque,1
1696,224,11,5681.96,Euro,5681.96,Euro,ACH,1
1697,1720,118939,1324.73,Euro,1324.73,Euro,Cheque,0
1698,224,224,1979.42,US Dollar,1979.42,US Dollar,ACH,1
1699,371015,270372,3.350747,Bitcoin,3.350747,Bitcoin,Bitcoin,0
1700,11314,1422,13662.28,US Dollar,13662.28,US Dollar,ACH,1
1701,0,30731,203.59,Euro,203.59,Euro,Cheque,0
1702,15,17213,5652.95,Yuan,5652.95,Yuan,Cheque,0
1703,12,20,7306.11,US Dollar,7306.11,US Dollar,ACH,1
1704,70,236335,1244.17,Canadian Dollar,1244.17,Canadian Dollar,Cheque,1
1705,70,11880,26206.44,US Dollar,26206.44,US Dollar,Credit Card,1
1706,14172,0,1276.36,Euro,1276.36,Euro,ACH,1
1707,70,154265,13953.84,Swiss Franc,13953.84,Swiss Franc,Credit Card,0
1708,70,14595,11.16,US Dollar,11.16,US Dollar,Cash,0
1709,123260,127361,6445.46,Rupee,6445.46,Rupee,Credit Card,0
1710,70,21939,2554.53,US Dollar,2554.53,US Dollar,Cheque,1
1711,214867,214867,909.22,US Dollar,909.22,US Dollar,Reinvestment,0
1712,1595,425,6901.11,Euro,6901.11,Euro,ACH,1
1713,8801,213123,48574.17,US Dollar,48574.17,US Dollar,Cheque,1
1714,22547,118536,11.86,US Dollar,11.86,US Dollar,Cash,0
1715,23,12,16652.77,US Dollar,16652.77,US Dollar,ACH,1
1716,70,42015,5748.24,US Dollar,5748.24,US Dollar,Credit Card,1
1717,17768,9096,22906.44,Yuan,22906.44,Yuan,ACH,1
1718,1776,17036,503.71,Euro,503.71,Euro,ACH,0
1719,2557,2557,100655.69,Euro,100655.69,Euro,Reinvestment,0
1720,1135,146341,49195.72,Mexican Peso,49195.72,Mexican Peso,ACH,1
1721,141846,144041,100.29,Australian Dollar,100.29,Australian Dollar,Cheque,0
1722,11,5621,105.17,US Dollar,105.17,US Dollar,Credit Card,0
1723,41019,141846,750.11,Australian Dollar,750.11,Australian Dollar,Cheque,0
1724,3500,225759,1114.81,US Dollar,1114.81,US Dollar,Cheque,0
1725,21393,3440,37832.79,US Dollar,37832.79,US Dollar,ACH,0
1726,241979,241979,15806.07,Australian Dollar,15806.07,Australian Dollar,Reinvestment,0
1727,16505,23848,11621.04,Euro,11621.04,Euro,Credit Card,0
1728,21876,11495,19920.84,US Dollar,19920.84,US Dollar,ACH,1
1729,230233,48087,3969.36,Euro,3969.36,Euro,ACH,1
1730,235676,137293,148.16,Canadian Dollar,148.16,Canadian Dollar,ACH,0
1731,22124,28393,6172.08,US Dollar,6172.08,US Dollar,Credit Card,0
1732,70,254751,154.22,US Dollar,154.22,US Dollar,Credit Card,1
1733,169309,269329,0.004627,Bitcoin,0.004627,Bitcoin,Bitcoin,0
1734,116299,18624,30589.01,Euro,30589.01,Euro,ACH,1
1735,29640,117284,27095.08,Yen,27095.08,Yen,Cheque,0
1736,1291,117694,100.03,US Dollar,100.03,US Dollar,Credit Card,0
1737,7,25,1804.1,UK Pound,1804.1,UK Pound,ACH,1
1738,70,114954,151.11,US Dollar,151.11,US Dollar,Cash,0
1739,70,166783,165.83,Yuan,165.83,Yuan,Credit Card,1
1740,15,29844,31927.31,Yuan,31927.31,Yuan,ACH,1
1741,3909,1394,69.87,US Dollar,69.87,US Dollar,Cheque,0
1742,117301,63152,3484.85,US Dollar,3484.85,US Dollar,Credit Card,0
1743,12,1110,887379.79,US Dollar,887379.79,US Dollar,ACH,0
1744,23848,1277,12921.94,US Dollar,12921.94,US Dollar,ACH,1
1745,70,3533,12597.09,US Dollar,12597.09,US Dollar,Cash,1
1746,17694,45566,68.75,Euro,68.75,Euro,Wire,0
1747,6809,3500,7.43,US Dollar,7.43,US Dollar,Credit Card,0
1748,2368,215187,0.4,US Dollar,0.4,US Dollar,ACH,0
1749,26,394,19382.19,US Dollar,19382.19,US Dollar,ACH,1
1750,231975,285,199073.34,Ruble,199073.34,Ruble,ACH,1
1751,17319,7249,4.82,Euro,4.82,Euro,Cheque,0
1752,1439,15640,308073.0,US Dollar,308073.0,US Dollar,ACH,0
1753,70,29,19096.65,UK Pound,19096.65,UK Pound,Cheque,1
1754,22661,24633,90.84,US Dollar,90.84,US Dollar,Credit Card,0
1755,129050,240478,61949.99,US Dollar,61949.99,US Dollar,Cheque,0
1756,423,1120,13655.9,US Dollar,13655.9,US Dollar,ACH,1
1757,9856,110522,58.99,Yuan,58.99,Yuan,Credit Card,0
1758,113,113,95874.17,Mexican Peso,95874.17,Mexican Peso,ACH,1
1759,27,10461,25919.28,Yuan,25919.28,Yuan,ACH,1
1760,70,25520,4286015.42,Rupee,4286015.42,Rupee,Cheque,1
1761,70,23319,94521.16,US Dollar,94521.16,US Dollar,Cash,0
1762,2293,17353,7342.06,Euro,7342.06,Euro,ACH,1
1763,11222,115216,2734.53,US Dollar,2734.53,US Dollar,Cheque,0
1764,1110,1291,2832.05,US Dollar,2832.05,US Dollar,ACH,1
1765,27155,126688,5.9,US Dollar,5.9,US Dollar,Cheque,0
1766,216,165440,9706.51,Saudi Riyal,9706.51,Saudi Riyal,ACH,1
1767,70,121335,58.43,US Dollar,58.43,US Dollar,Cash,1
1768,248188,7249,23.41,Euro,23.41,Euro,Credit Card,0
1769,8,232857,1512.22,UK Pound,1512.22,UK Pound,ACH,0
1770,1889,2175,40.59,US Dollar,40.59,US Dollar,Credit Card,0
1771,20,1217,20515.99,US Dollar,20515.99,US Dollar,ACH,1
1772,316594,316594,276.39,Euro,276.39,Euro,Reinvestment,0
1773,15786,233345,3702.34,US Dollar,3702.34,US Dollar,ACH,1
1774,22260,17353,3017.28,Euro,3017.28,Euro,ACH,1
1775,118840,27234,4904.87,US Dollar,4904.87,US Dollar,ACH,1
1776,113002,24317,6297.95,US Dollar,6297.95,US Dollar,Cheque,0
1777,125882,125882,3746834.78,Rupee,3746834.78,Rupee,Reinvestment,0
1778,23410,13474,5254.85,US Dollar,5254.85,US Dollar,ACH,1
1779,49411,149108,184.34,Brazil Real,184.34,Brazil Real,Credit Card,0
1780,7080,228716,28302.53,Yuan,28302.53,Yuan,Cheque,0
1781,33322,7839,53.33,Euro,53.33,Euro,Cheque,0
1782,0,0,17.43,Euro,17.43,Euro,Reinvestment,0
1783,25307,6681,452.98,Euro,452.98,Euro,ACH,0
1784,370950,370950,0.003276,Bitcoin,0.003276,Bitcoin,Bitcoin,0
1785,321657,215571,781.65,US Dollar,781.65,US Dollar,ACH,0
1786,16262,3202,4936.71,US Dollar,4936.71,US Dollar,ACH,1
1787,43129,41428,319.73,Australian Dollar,319.73,Australian Dollar,Cheque,0
1788,21939,13703,161.97,US Dollar,161.97,US Dollar,Wire,0
1789,70,11047,824.91,US Dollar,824.91,US Dollar,Cheque,1
1790,27009,11701,1536.73,US Dollar,1536.73,US Dollar,ACH,1
1791,3,115212,4598.29,Euro,4598.29,Euro,Cheque,0
1792,25526,238579,1344.16,US Dollar,1344.16,US Dollar,Cheque,0
1793,11,11,14378.02,Euro,14378.02,Euro,ACH,1
1794,115771,24950,2341.11,US Dollar,2341.11,US Dollar,ACH,1
1795,330184,232746,149.41,US Dollar,149.41,US Dollar,Cash,0
1796,70,21547,403.7,US Dollar,403.7,US Dollar,Credit Card,1
1797,141465,142114,6782.02,Australian Dollar,6782.02,Australian Dollar,Credit Card,0
1798,269329,71528,0.093384,Bitcoin,0.093384,Bitcoin,Bitcoin,0
1799,17831,232406,17629.76,US Dollar,17629.76,US Dollar,Cheque,0
1800,59033,59033,58.12,Shekel,58.12,Shekel,Reinvestment,0
1801,285,285,1122287.45,Ruble,1122287.45,Ruble,Cash,0
1802,70,15284,306.08,US Dollar,306.08,US Dollar,Cheque,1
1803,75388,269312,0.35427,Bitcoin,0.35427,Bitcoin,Bitcoin,0
1804,65300,65528,5182.9,Saudi Riyal,5182.9,Saudi Riyal,ACH,0
1805,166516,59457,2066.24,US Dollar,2066.24,US Dollar,ACH,1
1806,349803,349803,1259.55,US Dollar,1259.55,US Dollar,Reinvestment,0
1807,216269,24070,1170.6,Euro,1170.6,Euro,ACH,1
1808,235647,235647,1827.49,Canadian Dollar,1827.49,Canadian Dollar,Credit Card,0
1809,1217,14,8152.64,Euro,8152.64,Euro,ACH,1
1810,1776,1217,4742.43,US Dollar,4742.43,US Dollar,ACH,1
1811,1217,1217,390.3,US Dollar,390.3,US Dollar,Reinvestment,0
1812,70,41019,94.27,Australian Dollar,94.27,Australian Dollar,Cheque,1
1813,115332,14851,9287.91,Euro,9287.91,Euro,ACH,1
1814,15,28335,6049.06,Yuan,6049.06,Yuan,Cheque,0
1815,70,269077,0.008827,Bitcoin,0.008827,Bitcoin,Bitcoin,1
1816,12503,25400,249262.89,Euro,249262.89,Euro,ACH,1
1817,70,25304,3620.2,Euro,3620.2,Euro,Cheque,0
1818,21876,1835,6918.43,Euro,6918.43,Euro,Credit Card,0
1819,148698,50707,522.62,Brazil Real,522.62,Brazil Real,Cheque,0
1820,21939,2293,4086.89,Euro,4086.89,Euro,ACH,1
1821,5,225628,93405.87,Rupee,93405.87,Rupee,ACH,1
1822,17768,27356,138.4,Yuan,138.4,Yuan,Credit Card,0
1823,64057,66415,2007164.77,Saudi Riyal,2007164.77,Saudi Riyal,Cash,0
1824,70,18270,757.87,US Dollar,757.87,US Dollar,Credit Card,1
1825,47060,139884,79.47,US Dollar,79.47,US Dollar,ACH,1
1826,13821,118699,350.1,US Dollar,350.1,US Dollar,Cheque,0
1827,18,217,13739.81,Saudi Riyal,13739.81,Saudi Riyal,ACH,1
1828,163897,163233,154.04,Saudi Riyal,154.04,Saudi Riyal,Cheque,0
1829,32307,32307,4385.61,US Dollar,4385.61,US Dollar,Reinvestment,0
1830,70,237110,5228.25,US Dollar,5228.25,US Dollar,Cheque,1
1831,7080,15885,6850.0,Yuan,6850.0,Yuan,Credit Card,0
1832,63587,163233,4770.59,Saudi Riyal,4770.59,Saudi Riyal,ACH,1
1833,110299,212379,1447.35,Yuan,1447.35,Yuan,Cheque,0
1834,20,216796,1107.69,US Dollar,1107.69,US Dollar,Cheque,0
1835,70,5436,1216.22,Euro,1216.22,Euro,Credit Card,0
1836,237160,120229,604.84,Euro,604.84,Euro,Cheque,0
1837,12,1390,4269.42,Euro,4269.42,Euro,ACH,1
1838,147379,14057,1591.47,Yuan,1591.47,Yuan,ACH,1
1839,70,11437,700.31,Euro,700.31,Euro,Cheque,0
1840,70,24455,756340.1,Euro,756340.1,Euro,Cheque,1
1841,40904,141846,361.52,Australian Dollar,361.52,Australian Dollar,Cheque,0
1842,328446,28455,18989.99,Rupee,18989.99,Rupee,Cheque,0
1843,225759,115966,297.7,US Dollar,297.7,US Dollar,Credit Card,0
1844,2196,5436,4062.66,Euro,4062.66,Euro,Cheque,0
1845,1422,20,3267.16,US Dollar,3267.16,US Dollar,ACH,1
1846,70,17319,262.8,Euro,262.8,Euro,Cash,1
1847,112,159167,151414.13,Shekel,151414.13,Shekel,ACH,1
1848,63587,63587,20847.46,Saudi Riyal,20847.46,Saudi Riyal,ACH,1
1849,135925,138237,2359.74,Canadian Dollar,2359.74,Canadian Dollar,ACH,1
1850,46650,223550,2375.3,US Dollar,2375.3,US Dollar,Credit Card,0
1851,213,59033,15454.47,Shekel,15454.47,Shekel,ACH,1
1852,70,22264,158.4,Euro,158.4,Euro,Cheque,1
1853,128929,128929,368.3,Rupee,368.3,Rupee,Reinvestment,0
1854,5981,122416,1598.05,Euro,1598.05,Euro,Cheque,0
1855,12,20,8920.33,US Dollar,8920.33,US Dollar,ACH,1
1856,1394,12592,14051.08,US Dollar,14051.08,US Dollar,ACH,1
1857,22260,37714,512.11,Euro,512.11,Euro,Credit Card,0
1858,355518,228776,1164.37,Euro,1164.37,Euro,Cheque,0
1859,157900,113,15216.58,Shekel,15216.58,Shekel,ACH,1
1860,152768,219,70.34,Swiss Franc,70.34,Swiss Franc,ACH,1
1861,215721,11255,301.34,US Dollar,301.34,US Dollar,Cheque,0
1862,40122,18671,2386.08,US Dollar,2386.08,US Dollar,ACH,1
1863,259615,113016,3804.09,US Dollar,3804.09,US Dollar,ACH,0
1864,6681,7272,2362.77,Euro,2362.77,Euro,Credit Card,0
1865,226290,12592,3299.06,US Dollar,3299.06,US Dollar,ACH,1
1866,70,19368,5569.1,Euro,5569.1,Euro,Cheque,1
1867,21876,15763,8510730.67,Euro,8510730.67,Euro,ACH,0
1868,10920,13482,4652.42,Yuan,4652.42,Yuan,ACH,1
1869,21939,27915,4850.75,US Dollar,4850.75,US Dollar,Cheque,0
1870,18656,23,1091736.86,Yen,1091736.86,Yen,ACH,1
1871,70,21414,4734.22,US Dollar,4734.22,US Dollar,Cheque,1
1872,353709,237102,85.81,US Dollar,85.81,US Dollar,Credit Card,0
1873,19229,11770,3874.21,US Dollar,3874.21,US Dollar,ACH,1
1874,120280,221024,310.48,US Dollar,310.48,US Dollar,Cheque,0
1875,224,2860,69812.07,US Dollar,69812.07,US Dollar,Cheque,0
1876,127412,124476,1082575.95,Rupee,1082575.95,Rupee,Cheque,0
1877,136678,235889,151.83,Canadian Dollar,151.83,Canadian Dollar,ACH,1
1878,17059,246140,130217.85,Mexican Peso,130217.85,Mexican Peso,ACH,1
1879,11,11,9199.88,US Dollar,9199.88,US Dollar,ACH,1
1880,115648,29640,3886628.62,Yen,3886628.62,Yen,ACH,1
1881,24317,24317,4094.36,US Dollar,4094.36,US Dollar,Reinvestment,0
1882,70,171474,0.027934,Bitcoin,0.027934,Bitcoin,Bitcoin,1
1883,3460,11,9664.34,US Dollar,9664.34,US Dollar,ACH,1
1884,21876,22264,113.99,Euro,113.99,Euro,Cheque,0
1885,21479,21479,9.36,Euro,1155.91,Yen,ACH,0
1886,15461,29559,6946.56,Euro,6946.56,Euro,Credit Card,0
1887,333367,7,238.86,UK Pound,238.86,UK Pound,Cash,0
1888,120280,120280,21.73,US Dollar,21.73,US Dollar,Reinvestment,0
1889,2860,1,231.25,US Dollar,231.25,US Dollar,ACH,1
1890,1291,600,3026.45,Euro,3026.45,Euro,ACH,1
1891,216796,18326,2124.1,US Dollar,2124.1,US Dollar,ACH,0
1892,16456,4894,1769.93,US Dollar,1769.93,US Dollar,ACH,1
1893,51371,1126,2868.87,Euro,2868.87,Euro,ACH,1
1894,70,19856,1544388.67,Yen,1544388.67,Yen,Cheque,1
1895,25400,1595,2869.92,Euro,2869.92,Euro,ACH,1
1896,123800,124503,33853.96,Rupee,33853.96,Rupee,Cheque,0
1897,5621,240242,401.74,US Dollar,401.74,US Dollar,Credit Card,0
1898,25281,18270,2847.06,US Dollar,2847.06,US Dollar,ACH,1
1899,165362,263574,634.98,Saudi Riyal,634.98,Saudi Riyal,Credit Card,0
1900,19104,112827,24702.82,Yuan,24702.82,Yuan,ACH,1
1901,70,24643,3572.59,Euro,3572.59,Euro,Cheque,1
1902,70,2293,152.53,Euro,152.53,Euro,Credit Card,1
1903,7530,21316,146.77,Euro,146.77,Euro,ACH,1
1904,11,14,9808.77,Euro,9808.77,Euro,ACH,1
1905,1,22481,13074.41,US Dollar,13074.41,US Dollar,Credit Card,0
1906,70,52914,218.47,Swiss Franc,218.47,Swiss Franc,Credit Card,1
1907,3909,16262,130.15,US Dollar,130.15,US Dollar,ACH,0
1908,123260,39676,36518.99,Rupee,36518.99,Rupee,Cash,0
1909,425,227006,60.45,Euro,60.45,Euro,Cheque,0
1910,5981,22260,12741.04,Euro,12741.04,Euro,Credit Card,0
1911,70,5,65716.1,Rupee,65716.1,Rupee,Cheque,1
1912,22661,1,2186.52,US Dollar,2186.52,US Dollar,ACH,1
1913,2557,11701,17367.92,US Dollar,17367.92,US Dollar,ACH,1
1914,122779,215514,12239.17,US Dollar,12239.17,US Dollar,Cheque,0
1915,70,14620,7341.27,Euro,7341.27,Euro,Credit Card,1
1916,224,1776,7658.47,Euro,7658.47,Euro,ACH,1
1917,70,243453,125.05,Australian Dollar,125.05,Australian Dollar,Credit Card,0
1918,143569,26453,1625.54,US Dollar,1625.54,US Dollar,ACH,0
1919,70,162149,362.74,US Dollar,362.74,US Dollar,Credit Card,1
1920,23848,0,10130.1,Euro,10130.1,Euro,ACH,1
1921,144936,231755,2253.11,Euro,2253.11,Euro,ACH,1
1922,18656,215571,2480.36,US Dollar,2480.36,US Dollar,ACH,1
1923,25384,5082,3598.92,Euro,3598.92,Euro,ACH,1
1924,11968,11222,1068.01,US Dollar,1068.01,US Dollar,ACH,1
1925,25520,126455,215877.23,Rupee,215877.23,Rupee,ACH,1
1926,22106,1638,0.28,US Dollar,0.28,US Dollar,Credit Card,0
1927,70,11255,133.59,US Dollar,133.59,US Dollar,Cash,0
1928,531,20,4838.14,US Dollar,4838.14,US Dollar,ACH,1
1929,70,112646,9464.11,Yuan,9464.11,Yuan,Cheque,1
1930,1595,232814,1574.0,Euro,1574.0,Euro,ACH,0
1931,14640,32453,13964.83,Euro,13964.83,Euro,Cash,0
1932,70,69289,3.393535,Bitcoin,3.393535,Bitcoin,Bitcoin,1
1933,40904,41348,56.91,Australian Dollar,56.91,Australian Dollar,Credit Card,0
1934,13,4,900358.8,Yen,900358.8,Yen,Credit Card,0
1935,70,259615,11732.18,US Dollar,11732.18,US Dollar,Cheque,1
1936,1231,3,3849.15,Euro,3849.15,Euro,ACH,1
1937,2557,123496,2101.91,Euro,2101.91,Euro,Credit Card,0
1938,123651,224371,56387686.89,Rupee,56387686.89,Rupee,ACH,0
1939,1291,394,13971.04,US Dollar,13971.04,US Dollar,ACH,1
1940,110265,9976,34286.99,Yuan,34286.99,Yuan,ACH,1
1941,23319,41215,11804.91,US Dollar,11804.91,US Dollar,Cheque,0
1942,27,33067,1862.83,Euro,1862.83,Euro,ACH,1
1943,24950,1217,1657.46,US Dollar,1657.46,US Dollar,Cheque,0
1944,119973,223057,64.97,US Dollar,64.97,US Dollar,Credit Card,0
1945,18586,2293,1489.75,Euro,1489.75,Euro,ACH,0
1946,70,29867,1187.24,Yuan,1187.24,Yuan,Cheque,1
1947,72,225628,1718.28,Rupee,1718.28,Rupee,Cash,0
1948,70,15168,390757.84,Yuan,390757.84,Yuan,Cash,1
1949,224,224,533926.8,US Dollar,533926.8,US Dollar,ACH,1
1950,163233,264772,2919.56,Saudi Riyal,2919.56,Saudi Riyal,ACH,1
1951,234142,133372,239.48,UK Pound,239.48,UK Pound,ACH,1
1952,70,12966,130.69,US Dollar,130.69,US Dollar,Credit Card,1
1953,70,1110,1.82,US Dollar,1.82,US Dollar,Cash,1
1954,19104,19104,259.26,Brazil Real,307.53,Yuan,ACH,0
1955,5206,237640,641.09,US Dollar,641.09,US Dollar,Cheque,0
1956,220822,240057,13.58,US Dollar,13.58,US Dollar,Credit Card,0
1957,12,20,13437.4,US Dollar,13437.4,US Dollar,ACH,1
1958,69465,169671,0.006774,Bitcoin,0.006774,Bitcoin,Bitcoin,0
1959,14,158021,119980.54,Shekel,119980.54,Shekel,ACH,0
1960,31464,1807,111.54,US Dollar,111.54,US Dollar,Cheque,0
1961,70,215766,814.92,US Dollar,814.92,US Dollar,Credit Card,1
1962,19414,23642,15163.63,Rupee,15163.63,Rupee,Credit Card,0
1963,15516,25788,15827.88,Euro,15827.88,Euro,ACH,1
1964,3671,11437,1124.84,Euro,1124.84,Euro,ACH,1
1965,18747,223057,2430.08,US Dollar,2430.08,US Dollar,ACH,1
1966,36096,235647,60970.39,Canadian Dollar,60970.39,Canadian Dollar,ACH,1
1967,70,110777,337.21,US Dollar,337.21,US Dollar,Credit Card,1
1968,212108,247088,2992.73,Euro,2992.73,Euro,ACH,1
1969,113002,23747,2078.34,US Dollar,2078.34,US Dollar,ACH,1
1970,1217,1768,8593.9,Euro,8593.9,Euro,ACH,1
1971,70,115329,1758.22,Yuan,1758.22,Yuan,Cash,0
1972,143569,15331,4254.21,US Dollar,4254.21,US Dollar,ACH,1
1973,20,20,7858.34,US Dollar,7858.34,US Dollar,ACH,1
1974,1217,25526,1393.8,US Dollar,1393.8,US Dollar,Cheque,0
1975,8720,21876,3602.03,Euro,3602.03,Euro,ACH,1
1976,29592,12,52516.19,Yen,52516.19,Yen,ACH,1
1977,23494,123568,71346.42,Rupee,71346.42,Rupee,Cheque,0
1978,425,25634,7913.48,Euro,7913.48,Euro,ACH,1
1979,25634,425,52.46,Euro,52.46,Euro,ACH,1
1980,70874,272866,0.163577,Bitcoin,0.163577,Bitcoin,Bitcoin,0
1981,112659,27,5054.29,Yuan,5054.29,Yuan,ACH,1
1982,27356,27425,11136.7,Yuan,11136.7,Yuan,Credit Card,0
1983,70,16505,284.24,Euro,284.24,Euro,Cheque,1
1984,70,152972,93.2,US Dollar,93.2,US Dollar,Credit Card,1
1985,25,23544,71246.41,Rupee,71246.41,Rupee,Cheque,0
1986,72351,174431,1.548531,Bitcoin,1.548531,Bitcoin,Bitcoin,0
1987,269312,170566,0.63517,Bitcoin,0.63517,Bitcoin,Bitcoin,1
1988,70,14172,38.64,Euro,38.64,Euro,Credit Card,1
1989,21876,24643,901.66,Euro,901.66,Euro,ACH,1
1990,223281,224371,96527.62,Rupee,96527.62,Rupee,ACH,1
1991,70,28393,543.3,US Dollar,543.3,US Dollar,Cheque,1
1992,233186,133159,324.79,UK Pound,324.79,UK Pound,Credit Card,0
1993,27,132425,84842.99,Ruble,84842.99,Ruble,ACH,1
1994,10881,15516,50879.72,Euro,50879.72,Euro,Cheque,0
1995,1595,24027,2565.92,Euro,2565.92,Euro,Cheque,0
1996,11047,224,3457.5,US Dollar,3457.5,US Dollar,ACH,1
1997,17059,23140,1845.63,Euro,1845.63,Euro,Credit Card,0
1998,70,22481,165.82,US Dollar,165.82,US Dollar,Cheque,0
1999,70,219,808.92,Swiss Franc,808.92,Swiss Franc,Credit Card,1
2000,11,147445,17187.21,Euro,17187.21,Euro,ACH,1
2001,10876,6058,313.37,Euro,313.37,Euro,ACH,1
2002,123568,224371,76728.69,Rupee,76728.69,Rupee,Credit Card,0
2003,124126,214342,95.92,US Dollar,95.92,US Dollar,Credit Card,0
2004,24643,12503,19111.33,Euro,19111.33,Euro,ACH,1
2005,1394,349,2614.25,US Dollar,2614.25,US Dollar,Cheque,0
2006,217662,17891,551154.97,Yen,551154.97,Yen,Cheque,0
2007,18990,11701,58.35,US Dollar,58.35,US Dollar,Cheque,0
2008,11265,23041,5845670.47,US Dollar,5845670.47,US Dollar,Cheque,0
2009,70,24029,86.23,Euro,86.23,Euro,Credit Card,0
2010,1889,22364,2196.12,US Dollar,2196.12,US Dollar,ACH,1
2011,116703,11047,2075.38,US Dollar,2075.38,US Dollar,ACH,1
2012,3671,1291,7698.74,US Dollar,7698.74,US Dollar,ACH,1
2013,13,4,15588.1,Yen,15588.1,Yen,ACH,0
2014,134241,5294,448.13,Euro,448.13,Euro,ACH,1
2015,5033,349,3566.31,US Dollar,3566.31,US Dollar,ACH,1
2016,1394,14648,3383.11,US Dollar,3383.11,US Dollar,ACH,1
2017,17,52898,40.23,Swiss Franc,40.23,Swiss Franc,ACH,0
2018,17102,14851,946.44,Euro,946.44,Euro,ACH,1
2019,18076,19622,4138.03,Euro,4138.03,Euro,ACH,1
2020,70,8801,6258.04,US Dollar,6258.04,US Dollar,Credit Card,0
2021,363125,56824,857.58,US Dollar,857.58,US Dollar,Cheque,0
2022,20,169261,0.1025,Bitcoin,0.1025,Bitcoin,Bitcoin,0
2023,70,11255,206.42,US Dollar,206.42,US Dollar,Credit Card,1
2024,23033,119699,31925.49,Rupee,31925.49,Rupee,Credit Card,0
2025,14195,4308,1433927.3,Euro,1433927.3,Euro,Cheque,0
2026,23410,22364,152.41,US Dollar,152.41,US Dollar,Credit Card,0
2027,113016,256229,104.27,US Dollar,104.27,US Dollar,Credit Card,0
2028,226290,1422,24756.12,US Dollar,24756.12,US Dollar,Cheque,0
2029,70,48019,356.42,Euro,356.42,Euro,Cash,0
2030,1277,149329,1036.85,US Dollar,1036.85,US Dollar,ACH,0
2031,70,58138,11438.38,Shekel,11438.38,Shekel,Credit Card,1
2032,72332,71535,0.271169,Bitcoin,0.271169,Bitcoin,Bitcoin,1
2033,70,18283,113342.54,Yen,113342.54,Yen,Cash,1
2034,69289,270290,0.009062,Bitcoin,0.009062,Bitcoin,Bitcoin,0
2035,19300,231302,3152.84,Euro,3152.84,Euro,ACH,1
2036,214,50453,83275.65,Brazil Real,83275.65,Brazil Real,Cheque,0
2037,111913,139661,1.95,US Dollar,1.95,US Dollar,Credit Card,0
2038,52860,211,3517.31,Swiss Franc,3517.31,Swiss Franc,ACH,1
2039,119699,225547,45380.0,Rupee,45380.0,Rupee,Cheque,0
2040,12101,210277,14006.62,Yuan,14006.62,Yuan,ACH,1
2041,224,224,24.09,US Dollar,24.09,US Dollar,Reinvestment,0
2042,133372,29,1914.31,UK Pound,1914.31,UK Pound,ACH,1
